product_name,price,discount,date,source,,
Checked Shirt with Patch Pocket,831,39,15-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,17-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,18-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,19-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,20-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,20-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,21-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,22-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,24-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,25-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,26-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,27-07-2023,Myntra,,
Checked Shirt with Patch Pocket,1599,-18,27-07-2023,Myntra,,
Checked Shirt with Patch Pocket,1599,-18,28-07-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,30-07-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,04-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,22-08-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,23-08-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,24-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,25-08-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,25-08-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,26-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,27-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,27-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,28-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,29-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,30-08-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,31-08-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,01-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,02-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,03-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,04-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,05-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,05-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,06-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,07-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,08-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,09-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,10-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,11-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,12-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,12-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,13-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,13-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,14-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,15-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,16-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,16-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,17-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,18-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,19-09-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,20-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,21-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,22-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,22-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,23-09-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,24-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,26-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,26-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,27-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,28-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,29-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,30-09-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,01-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,02-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,03-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,04-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,05-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,07-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,07-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,09-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,09-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,10-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,11-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,12-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,13-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,16-10-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,18-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,27-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,28-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,29-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,30-10-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,31-10-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,01-11-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,02-11-2023,Myntra,,
Checked Shirt with Patch Pocket,863,37,02-11-2023,Myntra,,
Checked Shirt with Patch Pocket,895,34,04-11-2023,Myntra,,
Checked Shirt with Patch Pocket,895,34,05-11-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,06-11-2023,Myntra,,
Checked Shirt with Patch Pocket,895,34,07-11-2023,Myntra,,
Checked Shirt with Patch Pocket,911,33,08-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,09-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,10-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,11-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,12-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,13-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,14-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,15-11-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,18-11-2023,Myntra,,
Checked Shirt with Patch Pocket,895,34,18-11-2023,Myntra,,
Checked Shirt with Patch Pocket,895,34,19-11-2023,Myntra,,
Checked Shirt with Patch Pocket,879,35,20-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,21-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,22-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,23-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,23-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,24-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,25-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,26-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,27-11-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,28-11-2023,Myntra,,
