product_name,price,discount%,date,source
Apple iPhone 12 (64GB) - Black,70900,33.68,17-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,17-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,18-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,19-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,20-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,21-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,22-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,23-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,23-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,25-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,25-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,26-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,27-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,27-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,28-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,28-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,29-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,71900,32.74,30-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,30-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,31-05-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,01-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,02-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,02-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,03-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,04-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,04-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,05-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,05-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,06-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,06-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,76900,28.06,08-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,77500,27.5,08-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,09-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,10-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,10-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,11-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,12-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,13-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,14-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,14-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,14-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,15-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,73900,30.87,16-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,17-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,18-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,19-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,20-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,21-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,22-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,23-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,24-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,25-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,26-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,27-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,28-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,29-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,30-06-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,01-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,02-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,03-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,04-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,05-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,06-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,70900,33.68,07-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,08-07-2021,Amazon
Apple iPhone 12 (64GB) - Black,72900,31.81,09-07-2021,Amazon
